photon_spacing,g2
2.81E-09,0
3.58E-09,3.154455633
4.61E-09,1.261782253
5.63E-09,1.261782253
7.17E-09,0.315445563
9.21E-09,1.261782253
1.13E-08,0.315445563
1.43E-08,0.94633669
1.84E-08,0.788613908
2.25E-08,1.419505035
2.87E-08,1.498366426
3.69E-08,1.261782253
4.51E-08,1.419505035
5.73E-08,1.301212949
7.37E-08,0.828044604
9.01E-08,0.828044604
1.15E-07,1.025198081
1.47E-07,0.926621342
1.80E-07,1.025198081
2.29E-07,0.857617625
2.95E-07,1.054771102
3.60E-07,0.995625059
4.59E-07,1.148419004
5.90E-07,1.158276678
7.21E-07,1.094201798
9.18E-07,1.323392715
1.18E-06,1.261782254
1.44E-06,1.311070623
1.84E-06,1.279033183
2.36E-06,1.223583768
2.88E-06,1.297516322
3.67E-06,1.255621208
4.72E-06,1.269175509
5.77E-06,1.27595266
7.34E-06,1.263630568
9.44E-06,1.268867458
1.15E-05,1.238678332
1.47E-05,1.260704072
1.89E-05,1.245455484
2.31E-05,1.256083289
2.94E-05,1.250538348
3.77E-05,1.255852251
4.61E-05,1.229667806
5.87E-05,1.25400394
7.55E-05,1.258971286
9.23E-05,1.251578033
0.000117441,1.245378483
0.000150995,1.239005655
0.000184549,1.241258292
0.000234881,1.242519388
0.00030199,1.241720386
0.000369099,1.237272889
0.000469762,1.243583161
0.00060398,1.238875754
0.000738198,1.236916751
0.000939524,1.235544981
0.00120796,1.23530435
0.001476395,1.231622196
0.001879048,1.231593368
0.002415919,1.230735462
0.00295279,1.225882502
0.003758096,1.221702839
0.004831838,1.21811645
0.00590558,1.212255165
0.007516193,1.207996782
0.009663676,1.201165744
0.01181116,1.196373747
0.015032386,1.189282466
0.019327353,1.179624454
0.02362232,1.17201255
0.030064771,1.162474137
0.038654706,1.151073207
0.04724464,1.141999733
0.060129542,1.130784394
0.077309411,1.11902148
0.094489281,1.109611657
0.120259084,1.098705728
0.154618823,1.087946579
0.188978561,1.079305387
0.240518169,1.068815615
0.309237645,1.058421868
0.377957122,1.051318126
0.481036337,1.042973781
0.618475291,1.035766023
0.755914244,1.030824299
0.962072674,1.026300226
1.236950581,1.021577063
1.511828488,1.019817057
1.924145349,1.016432897
2.473901162,1.01241994
3.023656976,1.010318454
3.848290697,1.008951626
4.947802325,1.005549364
