photon_spacing,g2,
1114107,1.00E+00,
1245179,1.02E+00,
1441787,1.04E+00,
1703931,1.06E+00,
1966075,1.08E+00,
2228219,1.09E+00,
2490363,1.11E+00,
2883579,1.13E+00,
3407867,1.15E+00,
3932155,1.17E+00,
4456443,1.19E+00,
4980731,1.20E+00,
5767163,1.22E+00,
6815739,1.24E+00,
7864315,1.26E+00,
8912891,1.28E+00,
9961467,1.29E+00,
11534331,1.31E+00,
13631483,1.33E+00,
15728635,1.34E+00,
17825787,1.36E+00,
19922939,1.38E+00,
23068667,1.39E+00,
27262971,1.41E+00,
31457275,1.43E+00,
35651579,1.44E+00,
39845883,1.46E+00,
46137339,1.47E+00,
54525947,1.49E+00,
62914555,1.50E+00,
71303163,1.51E+00,
79691771,1.53E+00,
92274683,1.54E+00,
109051899,1.56E+00,
125829115,1.57E+00,
142606331,1.58E+00,
159383547,1.59E+00,
184549371,1.61E+00,
218103803,1.62E+00,
251658235,1.63E+00,
285212667,1.64E+00,
318767099,1.65E+00,
369098747,1.66E+00,
436207611,1.67E+00,
503316475,1.69E+00,
570425339,1.70E+00,
637534203,1.71E+00,
738197499,1.72E+00,
872415227,1.72E+00,
1006632955,1.73E+00,
1140850683,1.74E+00,
1275068411,1.75E+00,
1476395003,1.76E+00,
1744830459,1.77E+00,
2013265915,1.78E+00,
2281701371,1.78E+00,
2550136827,1.79E+00,
2952790011,1.80E+00,
3489660923,1.80E+00,
4026531835,1.81E+00,
4563402747,1.82E+00,
5100273659,1.82E+00,
5905580027,1.83E+00,
6979321851,1.84E+00,
8053063675,1.84E+00,
9126805499,1.85E+00,
10200547323,1.85E+00,
11811160059,1.86E+00,
13958643707,1.86E+00,
16106127355,1.87E+00,
18253611003,1.87E+00,
20401094651,1.88E+00,
23622320123,1.88E+00,
27917287419,1.89E+00,
32212254715,1.89E+00,
36507222011,1.90E+00,
40802189307,1.90E+00,
47244640251,1.90E+00,
55834574843,1.91E+00,
64424509435,1.91E+00,
73014444027,1.91E+00,
81604378619,1.92E+00,
94489280507,1.92E+00,
1.12E+11,1.92E+00,
1.29E+11,1.93E+00,
1.46E+11,1.93E+00,
1.63E+11,1.93E+00,
1.89E+11,1.93E+00,
2.23E+11,1.94E+00,
2.58E+11,1.94E+00,
2.92E+11,1.94E+00,
3.26E+11,1.94E+00,
3.78E+11,1.95E+00,
4.47E+11,1.95E+00,
5.15E+11,1.95E+00,
5.84E+11,1.95E+00,
6.53E+11,1.95E+00,
" 755,914,000,000.00 ",1.96E+00,
" 893,353,000,000.00 ",1.96E+00,
" 1,030,790,000,000.00 ",1.96E+00,
" 1,168,227,000,000.00 ",1.96E+00,
" 1,168,228,333,333.33 ",1.96E+00,
" 1,305,666,333,333.33 ",1.97E+00,
" 1,443,104,333,333.33 ",1.97E+00,
" 1,443,104,333,333.33 ",1.97E+00,
" 1,580,542,333,333.33 ",1.97E+00,
" 1,717,980,333,333.33 ",1.97E+00,
" 1,855,418,333,333.33 ",1.97E+00,
" 1,855,418,333,333.33 ",1.97E+00,
" 1,992,856,333,333.33 ",1.97E+00,
" 2,130,294,333,333.33 ",1.98E+00,
" 2,267,732,333,333.33 ",1.98E+00,
" 2,267,732,333,333.33 ",1.98E+00,
" 2,405,170,333,333.33 ",1.98E+00,
